Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
118107009,1A555401,true,Rx,0,8,FB,00,00,00,FB,FB,FB,FB,
118107221,1A555405,true,Rx,0,8,FB,00,00,00,FB,FB,FB,FB,
118107431,1A555402,true,Rx,0,8,FB,00,00,00,FB,FB,FB,FB,
118107641,18FED102,true,Rx,0,5,00,50,00,00,00,00,00,00,
118108028,18FED502,true,Rx,0,5,00,50,00,00,00,00,00,00,
118108237,18FED202,true,Rx,0,5,00,50,00,00,00,00,00,00,
118108447,18FED302,true,Rx,0,5,00,50,00,00,00,00,00,00,
118108658,18FED402,true,Rx,0,5,00,50,00,00,00,00,00,00,
118108872,16A9541A,true,Rx,0,8,A8,AA,A2,AA,AA,AA,AA,AA,
118109255,16A9541B,true,Rx,0,8,A8,AA,A2,AA,AA,AA,AA,AA,
118109465,16A9541C,true,Rx,0,8,A8,AA,A2,AA,AA,AA,AA,AA,
118109678,16A9541D,true,Rx,0,8,A8,AA,A2,AA,AA,AA,AA,AA,
118110066,16A9541E,true,Rx,0,8,A8,AA,A2,AA,AA,AA,AA,AA,
118110277,16A9541F,true,Rx,0,8,A8,AA,A2,AA,AA,AA,AA,AA,
118110487,16A95420,true,Rx,0,8,A8,AA,A2,AA,AA,AA,AA,AA,
118110699,16A95421,true,Rx,0,8,A8,AA,A2,AA,AA,AA,AA,AA,
118111088,18FED602,true,Rx,0,5,00,50,00,00,00,00,00,00,
118111297,18FED702,true,Rx,0,5,00,50,00,00,00,00,00,00,
118111507,18FED802,true,Rx,0,5,00,50,00,00,00,00,00,00,
118111718,1A555403,true,Rx,0,8,FB,00,00,00,FB,FB,FB,FB,
118112106,1A555404,true,Rx,0,8,FB,00,00,00,FB,FB,FB,FB,
118112316,1A555406,true,Rx,0,8,FB,00,00,00,FB,FB,FB,FB,
118112701,1A555407,true,Rx,0,8,FB,00,00,00,FB,FB,FB,FB,
118112918,1A555408,true,Rx,0,8,FB,00,00,00,FB,FB,FB,FB,
118113128,1A555460,true,Rx,0,8,00,30,30,30,30,00,00,00,
118113510,1A555461,true,Rx,0,8,00,30,30,30,30,00,00,00,
118113722,1A555462,true,Rx,0,8,00,30,30,30,30,00,00,00,
118114111,1A555463,true,Rx,0,8,00,30,30,30,30,00,00,00,
118114322,1A555464,true,Rx,0,8,00,30,30,30,30,00,00,00,
118114532,1A555465,true,Rx,0,8,00,30,30,30,30,00,00,00,
118114923,1A555466,true,Rx,0,8,00,30,30,30,30,00,00,00,
118115133,1A555467,true,Rx,0,8,00,30,30,30,30,00,00,00,
118134822,18FED102,true,Rx,0,5,00,00,00,00,00,00,00,00,
118135038,18FED502,true,Rx,0,5,00,10,00,00,00,00,00,00,
118135420,18FED202,true,Rx,0,5,00,00,00,00,00,00,00,00,
118135632,18FED302,true,Rx,0,5,00,00,00,00,00,00,00,00,
118135849,18FED402,true,Rx,0,5,00,00,00,00,00,00,00,00,
118136057,18FED602,true,Rx,0,5,00,10,00,00,00,00,00,00,
118136267,18FED702,true,Rx,0,5,00,00,00,00,00,00,00,00,
118136477,18FED802,true,Rx,0,5,00,10,00,00,00,00,00,00,
118157313,16A9541A,true,Rx,0,8,A8,AA,A0,AA,AA,AA,AA,AA,
118157699,16A9541E,true,Rx,0,8,A8,AA,A0,AA,AA,AA,AA,AA,
118157915,16A9541B,true,Rx,0,8,A8,AA,A0,AA,AA,AA,AA,AA,
118158125,16A9541C,true,Rx,0,8,A8,AA,A0,AA,AA,AA,AA,AA,
118159772,16A9541D,true,Rx,0,8,A8,AA,A0,AA,AA,AA,AA,AA,
118159778,16A9541F,true,Rx,0,8,A8,AA,A0,AA,AA,AA,AA,AA,
118159783,16A95420,true,Rx,0,8,A8,AA,A0,AA,AA,AA,AA,AA,
118159788,16A95421,true,Rx,0,8,A8,AA,A0,AA,AA,AA,AA,AA,
118164793,18FED102,true,Rx,0,5,0C,00,00,00,00,00,00,00,
118165009,18FED502,true,Rx,0,5,0C,00,00,00,00,00,00,00,
118165219,18FED202,true,Rx,0,5,0C,00,00,00,00,00,00,00,
118165600,18FED302,true,Rx,0,5,0C,00,00,00,00,00,00,00,
118165812,18FED402,true,Rx,0,5,0C,00,00,00,00,00,00,00,
118166025,18FED602,true,Rx,0,5,0C,00,00,00,00,00,00,00,
118166235,18FED702,true,Rx,0,5,0C,00,00,00,00,00,00,00,
118166444,18FED802,true,Rx,0,5,0C,00,00,00,00,00,00,00,
118207134,1A555401,true,Rx,0,8,61,00,00,00,FE,FE,FE,FE,
118207346,1A555405,true,Rx,0,8,62,00,00,00,FE,FE,FE,FE,
118207556,1A555402,true,Rx,0,8,61,00,00,00,FE,FE,FE,FE,
118207948,1A555403,true,Rx,0,8,60,00,00,00,FE,FE,FE,FE,
