Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1722252,000000BA,false,Rx,0,8,75,49,29,00,00,00,00,28,
1725969,000000BB,false,Rx,0,8,BC,E8,FF,D5,B5,2B,00,10,
1726179,0000015B,false,Rx,0,8,66,59,00,03,00,00,00,00,
1726569,18FED007,true,Rx,0,6,00,03,AB,AB,AA,AB,00,00,
1726779,18FED008,true,Rx,0,7,7E,AB,17,80,F6,FE,00,00,
1726988,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1731891,000000BA,false,Rx,0,8,25,4A,29,00,00,00,00,39,
1735952,000000BB,false,Rx,0,8,3E,E9,FF,D1,95,2B,00,12,
1736337,0000015B,false,Rx,0,8,73,5A,00,03,00,00,00,00,
1736554,000001BC,false,Rx,0,8,A8,33,A4,44,3A,A4,44,9A,
1736764,000001C0,false,Rx,0,8,16,73,A4,48,8A,A4,46,9A,
1736974,000001B0,false,Rx,0,8,A4,83,A4,48,9A,A4,48,9A,
1737183,000001B4,false,Rx,0,8,9F,73,A4,48,8A,A4,48,9A,
1737395,000001B8,false,Rx,0,8,2F,A3,A4,49,AA,A4,49,9A,
1737611,000001C4,false,Rx,0,8,A6,93,A4,49,9A,A4,48,9A,
1737821,000001C8,false,Rx,0,8,72,73,A4,47,6A,A4,47,9A,
1738032,000001CC,false,Rx,0,8,FF,73,A4,48,8A,A4,48,9A,
1738244,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
1738632,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
1738842,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
1742425,000001BD,false,Rx,0,8,5D,33,A4,43,4A,A4,4A,9A,
1742430,000001BE,false,Rx,0,8,7A,A3,A4,49,9A,A4,49,9A,
1742435,000001B1,false,Rx,0,8,6F,83,A4,48,9A,A4,4C,9A,
1742446,000000BA,false,Rx,0,8,32,4B,29,00,00,00,00,2A,
1742451,000001B2,false,Rx,0,8,AC,B3,A4,4D,CA,A4,4B,9A,
1742456,000001B5,false,Rx,0,8,3D,83,A4,47,8A,A4,48,9A,
1742678,000001B6,false,Rx,0,8,97,83,A4,48,8A,A4,48,9A,
1742890,000001B9,false,Rx,0,8,9B,B3,A4,49,9A,A4,48,9A,
1743111,000001BA,false,Rx,0,8,44,A3,A4,48,9A,A4,49,9A,
1743324,000001C1,false,Rx,0,8,C0,73,A4,45,7A,A4,4A,9A,
1743540,000001C2,false,Rx,0,8,FF,93,A4,4A,9A,A4,48,9A,
1743757,000001C5,false,Rx,0,8,89,83,A4,48,AA,A4,4C,9A,
1743967,000001C6,false,Rx,0,8,C5,C3,A4,4D,CA,A4,4C,9A,
1744177,000001C9,false,Rx,0,8,CF,63,A4,46,6A,A4,49,9A,
1744567,000001CA,false,Rx,0,8,04,A3,A4,49,9A,A4,48,9A,
1744777,000001CD,false,Rx,0,8,9A,73,A4,47,9A,A4,49,9A,
1744987,000001CE,false,Rx,0,8,85,A3,A4,4A,AA,A4,4A,9A,
1746109,000000BB,false,Rx,0,8,49,EA,FF,D1,95,2B,00,14,
1746331,0000015B,false,Rx,0,8,8C,5B,00,03,00,00,00,00,
