Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
20118659,000001C9,false,Rx,0,8,3A,5F,A4,46,6A,A4,49,4A,
20118664,000001CA,false,Rx,0,8,33,AF,A4,49,9A,A4,49,4A,
20118669,000001CD,false,Rx,0,8,28,7F,A4,47,9A,A4,49,4A,
20118674,000001CE,false,Rx,0,8,68,AF,A4,4A,AA,A4,4A,4A,
20119241,16A95419,true,Rx,0,8,AA,AA,8A,20,00,00,A0,80,
20120498,000000BB,false,Rx,0,8,81,FE,FF,D1,75,2B,00,0A,
20120708,0000015B,false,Rx,0,8,BC,51,00,01,00,00,00,00,
20120918,18FED007,true,Rx,0,6,00,07,A0,AB,AA,AB,00,00,
20121128,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
20121340,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
20124857,000000BA,false,Rx,0,8,EE,40,29,00,00,00,00,A6,
20130461,000000BB,false,Rx,0,8,61,EF,FF,D1,75,2B,00,0C,
20130671,0000015B,false,Rx,0,8,B2,52,00,01,00,00,00,00,
20130885,18FED007,true,Rx,0,6,00,07,A0,AB,9F,AB,00,00,
20131104,18FED008,true,Rx,0,7,7E,AB,00,80,F6,FE,00,00,
20131511,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
20134866,000000BA,false,Rx,0,8,60,41,29,00,00,00,00,B0,
20141363,000000BB,false,Rx,0,8,35,F0,FF,D5,75,2B,00,00,
20141368,0000015B,false,Rx,0,8,83,53,00,01,00,00,00,00,
20141373,18FED007,true,Rx,0,6,00,07,AB,AB,AA,AB,00,00,
20141378,000001C4,false,Rx,0,8,37,50,A4,45,5A,A4,43,0A,
20141383,000001B4,false,Rx,0,8,68,60,A4,46,6A,A4,47,0A,
20141610,000001B8,false,Rx,0,8,CF,50,A4,43,5A,A4,43,0A,
20141820,000001BC,false,Rx,0,8,31,20,A4,43,3A,A4,43,0A,
20142029,000001B0,false,Rx,0,8,54,20,A4,43,2A,A4,42,0A,
20142241,000001C0,false,Rx,0,8,F4,30,A4,45,6A,A4,43,0A,
20142456,000001C8,false,Rx,0,8,C8,60,A4,46,5A,A4,46,0A,
20142667,000001CC,false,Rx,0,8,8B,50,A4,46,6A,A4,46,0A,
20143048,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
20143261,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
20144865,000000BA,false,Rx,0,8,9E,42,29,00,00,00,00,A7,
20145782,000001C5,false,Rx,0,8,C4,20,A4,42,CA,A3,45,0A,
20145991,000001C6,false,Rx,0,8,99,50,A4,45,5A,A4,3D,0A,
20146201,000001B1,false,Rx,0,8,00,20,A4,42,AA,A3,45,0A,
20146590,000001B2,false,Rx,0,8,11,60,A4,47,6A,A4,3F,0A,
20146800,000001B5,false,Rx,0,8,5C,70,A4,46,FA,A3,47,0A,
20147010,000001B6,false,Rx,0,8,F5,60,A4,46,5A,A4,40,0A,
20147220,000001B9,false,Rx,0,8,D7,50,A4,42,AA,A3,48,0A,
20147432,000001BA,false,Rx,0,8,66,A0,A4,46,7A,A4,42,0A,
20147647,000001BD,false,Rx,0,8,03,30,A4,43,AA,A3,45,0A,
20147857,000001BE,false,Rx,0,8,8E,50,A4,43,3A,A4,3D,0A,
20148067,000001C1,false,Rx,0,8,1F,50,A4,42,BA,A3,46,0A,
20148280,000001C2,false,Rx,0,8,19,50,A4,45,5A,A4,3C,0A,
20148496,000001C9,false,Rx,0,8,94,30,A4,43,AA,A3,43,0A,
20148705,000001CA,false,Rx,0,8,79,30,A4,43,3A,A4,3C,0A,
20148914,000001CD,false,Rx,0,8,4E,60,A4,45,DA,A3,45,0A,
20149297,000001CE,false,Rx,0,8,46,60,A4,45,5A,A4,40,0A,
20150377,000000BB,false,Rx,0,8,31,E1,FF,D5,75,2B,00,0E,
20150593,0000015B,false,Rx,0,8,25,54,00,01,00,00,00,00,
20150813,18FED007,true,Rx,0,6,00,07,AB,AB,AA,AB,00,00,
20151195,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
20151407,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
20155799,000000BA,false,Rx,0,8,0E,43,29,00,00,00,00,A8,
20160350,000000BB,false,Rx,0,8,82,F2,FF,D1,75,2B,00,10,
20160565,0000015B,false,Rx,0,8,AC,55,00,01,00,00,00,00,
20160948,18FED007,true,Rx,0,6,00,07,A0,AB,9F,AB,00,00,
20161160,18FED008,true,Rx,0,7,7E,AB,00,80,F6,FE,00,00,
20161395,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
20164906,000000BA,false,Rx,0,8,EB,44,29,00,00,00,00,B9,
