Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
31186833,000001B8,false,Rx,0,8,28,A9,A4,4A,AA,A4,49,9A,
31186838,000001C4,false,Rx,0,8,CA,89,A4,49,9A,A4,48,9A,
31186843,000001C8,false,Rx,0,8,4D,79,A4,47,6A,A4,46,9A,
31186848,000001CC,false,Rx,0,8,65,79,A4,48,8A,A4,47,9A,
31189326,000001BD,false,Rx,0,8,15,39,A4,43,4A,A4,4A,9A,
31189542,000001B5,false,Rx,0,8,D8,79,A4,47,8A,A4,48,9A,
31189763,0000015B,false,Rx,0,8,2E,5E,00,03,00,00,00,00,
31190158,000000BA,false,Rx,0,8,94,4D,29,00,00,00,00,2A,
31190383,000001B1,false,Rx,0,8,9A,89,A4,48,9A,A4,4B,9A,
31190597,000001B2,false,Rx,0,8,B6,B9,A4,4C,CA,A4,4B,9A,
31190805,000001B6,false,Rx,0,8,AD,89,A4,48,8A,A4,48,9A,
31191015,000001B9,false,Rx,0,8,B5,A9,A4,49,9A,A4,49,9A,
31191224,000001BA,false,Rx,0,8,7D,B9,A4,48,9A,A4,49,9A,
31191436,000001BE,false,Rx,0,8,4E,A9,A4,49,9A,A4,4A,9A,
31191652,000001C1,false,Rx,0,8,E9,79,A4,45,6A,A4,4A,9A,
31191862,000001C2,false,Rx,0,8,CE,99,A4,4A,9A,A4,48,9A,
31192072,000001C5,false,Rx,0,8,CF,89,A4,48,AA,A4,4C,9A,
31192283,000001C6,false,Rx,0,8,1F,B9,A4,4C,CA,A4,4B,9A,
31192498,000001C9,false,Rx,0,8,95,59,A4,46,6A,A4,49,9A,
31192708,000001CA,false,Rx,0,8,CD,99,A4,49,9A,A4,49,9A,
31192918,000001CD,false,Rx,0,8,BC,79,A4,47,9A,A4,49,9A,
31193302,000001CE,false,Rx,0,8,5C,B9,A4,4A,AA,A4,4A,9A,
31193519,18FED007,true,Rx,0,6,00,03,AB,AB,AA,AB,00,00,
31193729,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
31193938,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
31194846,000000BB,false,Rx,0,8,DC,DC,FF,D5,B5,2B,00,14,
31199786,0000015B,false,Rx,0,8,45,5F,00,03,00,00,00,00,
31199996,000000BA,false,Rx,0,8,32,4E,29,00,00,00,00,2B,
31200205,18FED007,true,Rx,0,6,00,03,AB,AB,AA,AB,00,00,
31200595,18FED008,true,Rx,0,7,7E,AB,0B,80,F6,FE,00,00,
31200805,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
31204841,000000BB,false,Rx,0,8,2C,DD,FF,D5,B5,2B,00,16,
31209732,0000015B,false,Rx,0,8,BA,50,00,03,00,00,00,00,
31209942,000000BA,false,Rx,0,8,E3,4F,29,00,00,00,00,30,
31210327,18FED007,true,Rx,0,6,00,03,A0,AB,9F,AB,00,00,
31210543,18FED008,true,Rx,0,7,7E,AB,00,80,F6,FE,00,00,
31210752,18FED009,true,Rx,0,7,00,00,00,00,00,00,00,00,
31214806,000000BB,false,Rx,0,8,30,DE,FF,D1,95,2B,00,00,
31216584,000001BC,false,Rx,0,8,70,2A,A4,43,3A,A4,43,0A,
31216794,000001B4,false,Rx,0,8,A5,6A,A4,46,6A,A4,47,0A,
31217004,000001C0,false,Rx,0,8,53,3A,A4,45,6A,A4,43,0A,
31217214,000001B0,false,Rx,0,8,9E,2A,A4,43,2A,A4,42,0A,
31217425,000001B8,false,Rx,0,8,3E,5A,A4,43,5A,A4,43,0A,
31217642,000001C4,false,Rx,0,8,92,3A,A4,45,5A,A4,43,0A,
31217852,000001C8,false,Rx,0,8,8C,6A,A4,46,5A,A4,46,0A,
31218062,000001CC,false,Rx,0,8,93,5A,A4,46,6A,A4,46,0A,
31219839,0000015B,false,Rx,0,8,14,51,00,03,00,00,00,00,
31220049,000000BA,false,Rx,0,8,91,40,29,00,00,00,00,2C,
